Cluster,Topics
641,"mog, systems, platform, engineer, backfill"
642,"developer, dmirs, analyst, programming, net"
643,"environmental, plan, remediation, investigation, site"
644,"dmirs, contestable, supply, electricity, sites"
645,"senior, high, primary, education, school"
646,"plan, concept, planning, development, design"
647,"contact, cuagnict2015, cloud, genesys, doc"
648,"mounted, elevated, supply, platform, trailer"
649,"recovery, education, cost, refurbishments, huntingdale"
650,"request, pressure, park, office, cleaning"
651,"religious, retender, asset, prison, acacia"
652,"plan, rtaa, train, transport, road"
653,"investment, bath, sh, treeby, 6164"
654,"school, education, primary, removal, gla"
655,"education, transportable, relocation, builders, gla"
656,"panel, secondary, dianella, arts, performing"
657,"hospital, category, total, disposal, waste"
658,"development, office, dpird, regional, industries"
